SMILES,pIC50,num_atoms,logP
COc1ccc(C(F)(F)F)cc1Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,5.52,36,4.9957
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,5.52,42,5.68230000000001
COc1ccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,5.52,33,3.8454
COc1cccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)c1,5.52,33,3.8454
CN1CCN(c2ccc(Nc3nc4ccc(-c5ccc(S(C)(=O)=O)cc5)cn4n3)cc2)CC1,5.53,33,3.2952
CN(C)Cc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,5.54,36,3.8662
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(C)c1,5.54,27,3.95842
NCCc1nc2cc(C(N)=O)ccc2n1CCN,5.54,18,-0.404899999999999
CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,5.54,42,4.15512
Cc1ccc(Cl)cc1-c1cn(-c2ncnn3cccc23)cc1C(N)=O,5.54,25,3.24772
COc1ccc(-c2cccn3nc(N)nc23)cn1,5.54,18,1.3821
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,5.55,21,1.7609
Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1,5.55,33,5.17132
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4ccc(S(C)(=O)=O)cc4)nc2-3)CC1,5.56,29,3.3871
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4cccnc4)nc23)cc1,5.56,27,2.8069
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c(C)c1,5.57,28,4.30062
NCCn1c(Cc2ccccc2)nc2cc(C(N)=O)ccc21,5.57,22,1.6847
O=C(O)CN1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.57,37,3.4785
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(F)(F)F)cc1,5.57,33,4.701
N#Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,23,1.63258
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,22,2.06932
Cc1cccn2nc(Nc3ccc(S(C)(=O)=O)cc3)nc12,5.58,21,2.18482
NCCn1c(-c2ccc(O)cc2O)nc2cc(C(N)=O)ccc21,5.6,23,1.1721
CN1CCN(c2cccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,5.6,33,3.2952
Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,5.6,27,1.218
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,5.6,26,2.6366
c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,5.61,18,0.6152
Cc1ccccc1Oc1cnc2[nH]cc(C(=O)NC(C)C)c2n1,5.63,23,3.19682
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1OC,5.64,28,3.6586
NCCCn1c(CCN)nc2cc(C(N)=O)ccc21,5.66,19,-0.0147999999999996
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,5.67,34,3.6725
CC(C)(C)OC(=O)N1CCc2ccc(Nc3nc4c(-c5cccc6c5OC(F)(F)O6)cccn4n3)cc2CC1,5.67,39,5.79710000000001
COc1ccccc1-c1cccn2nc(N)nc12,5.67,18,1.9871
CS(=O)(=O)c1cccc(-c2cccn3nc(N)nc23)c1,5.67,20,1.382
Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,5.68,26,2.2688
Cc1cccc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,5.7,26,5.57172
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(C)(CC#N)C2)C1,5.7,27,1.87848
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4cccnc4)nc23)cc1,5.7,28,2.8494
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,5.74,30,3.8782
O=c1[nH]c2cnc(-n3cnc4cc(C(F)(F)F)ccc43)nc2n1C1CCOCC1,5.75,29,2.8288
CC(C)COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,5.75,32,4.8629
O=C(Nc1nc2cccc(-c3ccc(N4CCOCC4)cc3)n2n1)C1CC1,5.75,27,2.5814
CN(c1ccnc2[nH]ccc12)C1CCCCC1,5.75,17,3.3318
NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1cccc(-n2nccn2)c1,5.76,29,1.5816
O=C1CCC=CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)N1,5.77,28,4.5545
Cc1ccccc1-n1cc(-c2ccn(C)n2)c2n[nH]c(N)c2c1=O,5.77,24,2.00492
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C)c4n3)cc21,5.77,29,3.0118
Cc1ccc(-n2cc(-c3cccn4nc(Nc5ccc(C6CCN(C(=O)OC(C)(C)C)CC6)cc5)nc34)cn2)cc1,5.77,41,6.74852000000001
CN1CCN(c2cccc(Nc3nc4c(Oc5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,5.78,34,3.4205
Cn1cc(C2=C(Nc3cccc(OCCNc4ccnc(F)c4)c3)C(=O)NC2=O)c2ccccc21,5.79,35,3.6829
NCCCc1nc2cc(C(N)=O)ccc2n1CCN,5.8,19,-0.0147999999999996
NCCn1c(-c2cncnc2)nc2cc(C(N)=O)ccc21,5.8,21,0.550899999999999
N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5c(Cl)cccc5Cl)c4n3)c2c1,5.81,30,3.68528
CCn1c(-c2ccnc(N)n2)cc(C(N)=O)c1-c1cc(Cl)ccc1C,5.81,25,3.27492
CN1CCN(c2ccc(NC(=O)Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)cc2)CC1,5.82,36,3.1956
Cn1cc2c(Nc3nc(NC4CCOCC4N)cc4cc[nH]c(=O)c34)cccc2n1,5.82,30,2.0815
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,5.83,36,3.8393
COc1cnc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cn1,5.83,37,5.053
O=C(CCCCCCCC(=O)N1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO,5.83,40,5.7906
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1,5.84,26,3.65
